Ticker,Flag Price,Buy Price,Flag Time,Buy Time,Time Between Flag and Buy,Lowest RSI,TTM Strength,P/L ($),P/L (%)
AVIR,3.694999933242798,3.700000047683716,330,346,16,17.01631107456076,0.006082367130688271,4.049899578094937,0.1351317826460273
AY,22.40500068664551,22.41990089416504,335,338,3,22.46652001767845,0.01772962297712077,-8.631879806518555,-0.2894809938504324
BCRX,6.178800106048584,6.198800086975098,10,10,0,28.76856324350138,0.1884003676686967,-33.23038673400879,-1.109891778551498
BEAM,24.31999969482422,24.35000038146973,320,321,1,29.97416179190753,0.01384180137089208,-10.45512199401855,-0.3490800430786627
BGFV,3.595000028610229,3.599999904632568,115,121,6,24.6226168437228,0.007609399471964068,-8.329992055892944,-0.2777775202268368
BGFV,3.479000091552734,3.490999937057495,310,309,-1,24.54085244997286,0.001733367017337187,-18.03892135620117,-0.6015442230275746
BHF,45.31000137329102,45.34000015258789,145,147,2,28.01532596265669,0.02860057967049645,21.7798690795903,0.7278297645497173
BKR,32.09000015258789,32.15999984741211,70,69,-1,28.84347684760647,0.04564679758889328,27.89992904663131,0.9328334529973189
BMRC,15.85000038146973,15.86499977111816,140,148,8,23.85606476042433,0.02415898527417926,-14.17496395111084,-0.4727375376435365
BOOM,12.93000030517578,12.94989967346191,340,345,5,25.24502026549511,0.04553913150514885,0.02313137054488834,0.0007732554363171125
BYND,7.53000020980835,7.559999942779541,50,49,-1,19.80039069259068,0.05462179694856917,-9.90003776550293,-0.3306890946647283
BYND,7.545199871063232,7.565199851989746,240,239,-1,28.16641387656875,0.01186577098710179,-7.999111175537109,-0.2670091483503635
CART,32.09999847412109,32.11999893188477,160,160,0,23.04297735652428,0.1011807891300758,-12.08992195129395,-0.4047296546998152
CCOI,58.00500106811523,58.02999877929688,320,321,1,27.00853081371383,0.02986518587384956,-8.159992218017578,-0.2757191983074655
CCOI,57.79999923706055,57.88000106811523,360,359,-1,20.33905441539355,0.06319962501525661,46.92496490478516,1.589663673280544
